item-1, I left my WALLET in the BATHROOM!! 
item-2, Why be difficult when; with a bit of effort; you could be impossible? 
item-3, You should avoid hedging; at least that's what I think. 
item-4, You do not have mail. 
item-5, Honesty's the best policy. 		-- Miguel de Cervantes 
item-6, I joined scientology at a garage sale!! 
item-7, This MUST be a good party -- My RIB CAGE is being painfully pressed up against someone's MARTINI!! 
item-8, The reward of a thing well done is to have done it. 		-- Emerson 
item-9, I HAVE to buy a new "DODGE MISER" and two dozen JORDACHE JEANS because my viewscreen is "USER-FRIENDLY"!! 
item-10, You will wish you hadn't. 
item-11, It takes all kinds to fill the freeways. 		-- Crazy Charlie 
item-12, I am a deeply superficial person. 		-- Andy Warhol 
item-13, This is your fortune. 
item-14, Algebraic symbols are used when you do not know what you are talking about. 		-- Philippe Schnoebelen 
item-15, A couple more shots of whiskey; women 'round here start looking good.  		[something about a 10 being a 4 after a six-pack?  Ed.] 
item-16, COMPASS [for the CDC-6000 series] is the sort of assembler one expects from a corporation whose president codes in octal. 		-- J. N. Gray 
item-17, It's hard to tune heavily tuned code.  :-) 		-- Larry Wall in <199801141725.JAA07555@wall.org> 
item-18, I don't get no respect. 
item-19, ASCII a stupid question; you get an EBCDIC answer. 
item-20, Life is a grand adventure -- or it is nothing. 		-- Helen Keller 
item-21, The best book on programming for the layman is "Alice in Wonderland"; but that's because it's the best book on anything for the layman. 
item-22, Your job is being a professor and researcher: That's one hell of a good excuse for some of the brain-damages of minix. (Linus Torvalds to Andrew Tanenbaum) 
item-23, How much does she love you?  Less than you'll ever know. 
item-24, Maturity is only a short break in adolescence. 		-- Jules Feiffer 
item-25, Speaking of purchasing a dog; never buy a watchdog that's on sale. After all; everyone knows a bargain dog never bites! 
item-26, If you're constantly being mistreated; you're cooperating with the treatment. 
item-27, An American is a man with two arms and four wheels. 		-- A Chinese child 
item-28,   Parting is such sweet sorrow. -William Shakespeare 
item-29, interest; n.: 	What borrowers pay; lenders receive; stockholders own; and 	burned out employees must feign. 
item-30, From 0 to "what seems to be the problem officer" in 8.3 seconds. 		-- Ad for the new VW Corrado 
item-31, A conference is a gathering of important people who singly can do nothing but together can decide that nothing can be done. 		-- Fred Allen 
item-32, No line available at 300 baud. 
item-33, Only a mediocre person is always at his best. 		-- Laurence Peter 
item-34, With YOU; I can be MYSELF ...  We don't NEED Dan Rather ... 
item-35, Semper Fi; dude. 
item-36, There's too much beauty upon this earth for lonely men to bear. 		-- Richard Le Gallienne 
item-37, I don't want to bore you; but there's nobody else around for me to bore. 
item-38, Vulcans never bluff. 		-- Spock; "The Doomsday Machine"; stardate 4202.1 
item-39, The world is coming to an end!  Repent and return those library books! 
item-40, It is up to us to produce better-quality movies. 		-- Lloyd Kaufman; producer of "Stuff Stephanie in the Incinerator" 
item-41, You don't move to Edina; you achieve Edina. 		-- Guindon 
item-42, God is love; but get it in writing. 		-- Gypsy Rose Lee 
